scene,capture_rep,camera_direction,chart,repetitions,successful_diagnostics,score_init_checks_pass,score_init_median,score_init_range,cost_median,cost_range,true_decrease_median,true_decrease_range,prediction_median,prediction_range,rho_median,rho_range,cost_delta_pct_vs_euclidean_median,cost_delta_pct_vs_euclidean_range,point_equation_relative_residual_median,point_equation_relative_residual_range,maximum_point_displacement_median,maximum_point_displacement_range,fling_count_median,fling_count_range,assembly_and_setup_seconds_median,assembly_and_setup_seconds_range,linear_solve_seconds_median,linear_solve_seconds_range,scoring_and_diagnostics_seconds_median,scoring_and_diagnostics_seconds_range,cpu_total_seconds_median,cpu_total_seconds_range
venice-52,1,exact_clip,homogeneous,3,3,True,244946.83905292625,"[244946.83905292625, 244946.83905292625]",242641.40278959525,"[242641.40278959525, 242641.40278959525]",2305.4362633310116,"[2305.4362633310116, 2305.4362633310116]",2377.4536591974183,"[2377.4536591974183, 2377.4536591974183]",0.9697081810247699,"[0.9697081810247699, 0.9697081810247699]",-0.941184519135907,"[-0.941184519135907, -0.941184519135907]",7.509038504913283e-14,"[7.509038504913283e-14, 7.509038504913283e-14]",9914628.415953612,"[9914628.415953612, 9914628.415953612]",10,"[10, 10]",0.19652238301932812,"[0.19614771287888288, 0.2197918868623674]",0.009032146073877811,"[0.009018335957080126, 0.0090355658903718]",0.3840790702961385,"[0.3828949988819659, 0.38456413010135293]",0.5897301789373159,"[0.5884529477916658, 0.6129031032323837]"
venice-52,1,exact_clip,inverse_depth,3,3,True,244946.83905292634,"[244946.83905292634, 244946.83905292634]",242603.09280157468,"[242603.09280157468, 242603.09280157468]",2343.746251351673,"[2343.746251351673, 2343.746251351673]",2377.4796672045236,"[2377.4796672045236, 2377.4796672045236]",0.9858112705155057,"[0.9858112705155057, 0.9858112705155057]",-0.9568246448142692,"[-0.9568246448142692, -0.9568246448142692]",5.4693965421697586e-17,"[5.4693965421697586e-17, 5.4693965421697586e-17]",9914628.960051127,"[9914628.960051127, 9914628.960051127]",10,"[10, 10]",0.1902701291255653,"[0.18987236870452762, 0.19095600862056017]",0.008723476435989141,"[0.008719025179743767, 0.008775315713137388]",0.4004178801551461,"[0.39914652006700635, 0.4010363398119807]",0.5994633249938488,"[0.5977379139512777, 0.60071582486853]"
venice-52,2,eta2,euclidean,3,3,True,246403.69473567858,"[246403.69473567858, 246403.69473567858]",246402.73781513033,"[246402.73781513033, 246402.73781513033]",0.9569205482601291,"[0.9569205482601291, 0.9569205482601291]",1.3514789132999074,"[1.3514789132999074, 1.3514789132999074]",0.7080543683242643,"[0.7080543683242643, 0.7080543683242643]",0.0,"[0.0, 0.0]",2.0064357097204166e-11,"[2.0064357097204166e-11, 2.0064357097204166e-11]",4073.2043816582204,"[4073.2043816582204, 4073.2043816582204]",4,"[4, 4]",0.19319160096347332,"[0.1698448657989502, 0.19525444321334362]",0.008410154841840267,"[0.008402866311371326, 0.008422925136983395]",0.3850690610706806,"[0.37499772384762764, 0.3888910827226937]",0.5866835871711373,"[0.5532454559579492, 0.5925556807778776]"
venice-52,2,eta2,homogeneous,3,3,True,246403.69473567864,"[246403.69473567864, 246403.69473567864]",244001.49621083357,"[244001.49621083357, 244001.49621083357]",2402.1985248450496,"[2402.1985248450496, 2402.1985248450496]",2591.40081835851,"[2591.40081835851, 2591.40081835851]",0.9269884102169466,"[0.9269884102169466, 0.9269884102169466]",-0.9745190437365769,"[-0.9745190437365769, -0.9745190437365769]",5.633610603416859e-12,"[5.633610603416859e-12, 5.633610603416859e-12]",1550843.3874579382,"[1550843.3874579382, 1550843.3874579382]",9,"[9, 9]",0.20011371560394764,"[0.18635260593146086, 0.20242265611886978]",0.009014145005494356,"[0.008990455884486437, 0.009026605635881424]",0.3844667701050639,"[0.37319887429475784, 0.38717087265104055]",0.5959160318598151,"[0.5685419361107051, 0.5962987332604825]"
venice-52,2,eta2,inverse_depth,3,3,True,246403.6947356787,"[246403.6947356787, 246403.6947356787]",243838.39856004406,"[243838.39856004406, 243838.39856004406]",2565.296175634614,"[2565.296175634614, 2565.296175634614]",2616.0090440213967,"[2616.0090440213967, 2616.0090440213967]",0.9806144139666942,"[0.9806144139666942, 0.9806144139666942]",-1.0407105366703417,"[-1.0407105366703417, -1.0407105366703417]",8.909497262869691e-17,"[8.909497262869691e-17, 8.909497262869691e-17]",1550843.8508974065,"[1550843.8508974065, 1550843.8508974065]",9,"[9, 9]",0.18800148693844676,"[0.17556612892076373, 0.19085922790691257]",0.008728255983442068,"[0.008707696106284857, 0.008730495814234018]",0.37812681728973985,"[0.35672902315855026, 0.3862015912309289]",0.5776937413029373,"[0.5410234080627561, 0.5829335739836097]"
venice-52,2,exact_clip,euclidean,3,3,True,246403.69473567858,"[246403.69473567858, 246403.69473567858]",246402.3954976316,"[246402.3954976316, 246402.3954976316]",1.2992380469717943,"[1.2992380469717943, 1.2992380469717943]",1.6407072840176578,"[1.6407072840176578, 1.6407072840176578]",0.7918768080253197,"[0.7918768080253197, 0.7918768080253197]",0.0,"[0.0, 0.0]",1.340216668202545e-16,"[1.340216668202545e-16, 1.340216668202545e-16]",4114.63706801844,"[4114.63706801844, 4114.63706801844]",4,"[4, 4]",0.16993411537259817,"[0.1695370264351368, 0.19624989153817296]",0.008428666274994612,"[0.00842066528275609, 0.008433206006884575]",0.38696525152772665,"[0.3841065694577992, 0.38717772206291556]",0.5653325729072094,"[0.5620642611756921, 0.5918562798760831]"
venice-52,2,exact_clip,homogeneous,3,3,True,246403.69473567864,"[246403.69473567864, 246403.69473567864]",244001.1962947555,"[244001.1962947555, 244001.1962947555]",2402.4984409231465,"[2402.4984409231465, 2402.4984409231465]",2590.822092009233,"[2590.822092009233, 2590.822092009233]",0.9273112377469199,"[0.9273112377469199, 0.9273112377469199]",-0.9745031893974354,"[-0.9745031893974354, -0.9745031893974354]",1.4329998644278622e-16,"[1.4329998644278622e-16, 1.4329998644278622e-16]",1550843.3868509806,"[1550843.3868509806, 1550843.3868509806]",9,"[9, 9]",0.2035090778954327,"[0.20345598831772804, 0.20405903737992048]",0.00901370495557785,"[0.008995375130325556, 0.009028155356645584]",0.3834109604358673,"[0.38232449907809496, 0.3866479117423296]",0.5964981531724334,"[0.5948289521038532, 0.5991176050156355]"
venice-52,2,exact_clip,inverse_depth,3,3,True,246403.6947356787,"[246403.6947356787, 246403.6947356787]",243836.0440426009,"[243836.0440426009, 243836.0440426009]",2567.6506930777923,"[2567.6506930777923, 2567.6506930777923]",2615.4388724892224,"[2615.4388724892224, 2615.4388724892224]",0.9817284280989721,"[0.9817284280989721, 0.9817284280989721]",-1.041528614138565,"[-1.041528614138565, -1.041528614138565]",7.829052006261634e-17,"[7.829052006261634e-17, 7.829052006261634e-17]",1550843.8504211511,"[1550843.8504211511, 1550843.8504211511]",9,"[9, 9]",0.19087075907737017,"[0.17973855277523398, 0.19139897916465998]",0.0087068360298872,"[0.00870027532801032, 0.008765585720539093]",0.377291944809258,"[0.3752376539632678, 0.3897540429607034]",0.577456509694457,"[0.5748152490705252, 0.5781928710639477]"
final-3068,0,eta2,euclidean,3,3,True,1831859.0179865493,"[1831859.0179865493, 1831859.0179865493]",1831858.8176358358,"[1831858.8176358358, 1831858.8176358358]",0.2003507135448217,"[0.2003507135448217, 0.2003507135448217]",0.3418714821264955,"[0.3418714821264955, 0.3418714821264955]",0.5860410242428181,"[0.5860410242428181, 0.5860410242428181]",0.0,"[0.0, 0.0]",1.451044085888204e-16,"[1.451044085888204e-16, 1.451044085888204e-16]",3.123057736086604e-06,"[3.123057736086604e-06, 3.123057736086604e-06]",0,"[0, 0]",0.9852010058239102,"[0.9399669677950442, 1.004772358108312]",0.040626765228807926,"[0.040610555093735456, 0.04068650538101792]",1.7336735939607024,"[1.7139589213766158, 1.7796082715503871]",2.7593580447137356,"[2.714251116849482, 2.8054957827553153]"
final-3068,0,eta2,homogeneous,3,3,True,1831859.01798655,"[1831859.01798655, 1831859.01798655]",1831858.823675482,"[1831858.823675482, 1831858.823675482]",0.19431106804688625,"[0.19431106804688625, 0.19431106804688625]",0.34193417879127863,"[0.34193417879127863, 0.34193417879127863]",0.5682703868146987,"[0.5682703868146987, 0.5682703868146987]",3.297004225188971e-07,"[3.297004225188971e-07, 3.297004225188971e-07]",2.8770099344577955e-18,"[2.8770099344577955e-18, 2.8770099344577955e-18]",0.9784029424796852,"[0.9784029424796852, 0.9784029424796852]",0,"[0, 0]",1.050708796363324,"[1.0399902104400098, 1.0743210902437568]",0.040542415343225,"[0.04046607483178377, 0.04055513581261039]",1.796197632793337,"[1.7961708926595747, 1.8096607313491404]",2.9009119430556893,"[2.8766271779313684, 2.9110738588497043]"
final-3068,0,eta2,inverse_depth,3,3,True,1831859.0179865428,"[1831859.0179865428, 1831859.0179865428]",1831858.7834253972,"[1831858.7834253972, 1831858.7834253972]",0.23456114559064645,"[0.23456114559064645, 0.23456114559064645]",0.3755406380258801,"[0.3755406380258801, 0.3755406380258801]",0.6245959074460588,"[0.6245959074460588, 0.6245959074460588]",-1.8675259449985049e-06,"[-1.8675259449985049e-06, -1.8675259449985049e-06]",1.5131685972497599e-19,"[1.5131685972497599e-19, 1.5131685972497599e-19]",194.89582828976367,"[194.89582828976367, 194.89582828976367]",0,"[0, 0]",1.0044209682382643,"[0.9920911085791886, 1.013468123972416]",0.04052506620064378,"[0.04049702500924468, 0.040529544930905104]",1.7686642045155168,"[1.7539245961233974, 1.784873146098107]",2.813614717684686,"[2.807889745105058, 2.8174893208779395]"
final-3068,0,exact_clip,euclidean,3,3,True,1831859.0179865493,"[1831859.0179865493, 1831859.0179865493]",1831858.8176358363,"[1831858.8176358363, 1831858.8176358363]",0.20035071294955742,"[0.20035071294955742, 0.20035071294955742]",0.3418714821265567,"[0.3418714821265567, 0.3418714821265567]",0.58604102250152,"[0.58604102250152, 0.58604102250152]",0.0,"[0.0, 0.0]",1.451046369469723e-16,"[1.451046369469723e-16, 1.451046369469723e-16]",3.123057736086604e-06,"[3.123057736086604e-06, 3.123057736086604e-06]",0,"[0, 0]",1.003199566155672,"[0.9739714190363884, 1.0073192799463868]",0.0406542350538075,"[0.0405365452170372, 0.0406588357873261]",1.707901397254318,"[1.7040987350046635, 1.7479655328206718]",2.751759799197316,"[2.7187243890948594, 2.795821357984096]"
final-3068,0,exact_clip,homogeneous,3,3,True,1831859.01798655,"[1831859.01798655, 1831859.01798655]",1831858.8236754832,"[1831858.8236754832, 1831858.8236754832]",0.1943110668571535,"[0.1943110668571535, 0.1943110668571535]",0.34193417879134846,"[0.34193417879134846, 0.34193417879134846]",0.5682703833351622,"[0.5682703833351622, 0.5682703833351622]",3.2970046692781807e-07,"[3.2970046692781807e-07, 3.2970046692781807e-07]",2.0540565885655412e-16,"[2.0540565885655412e-16, 2.0540565885655412e-16]",0.9784029424796852,"[0.9784029424796852, 0.9784029424796852]",0,"[0, 0]",1.0680473372340202,"[1.0490835960954428, 1.0719028795138001]",0.04054857511073351,"[0.04048469569534063, 0.04059167578816414]",1.7488509328104556,"[1.6984082609415054, 1.7547872569411993]",2.838483104016632,"[2.80704727396369, 2.86717483215034]"
final-3068,0,exact_clip,inverse_depth,3,3,True,1831859.0179865428,"[1831859.0179865428, 1831859.0179865428]",1831858.7834253977,"[1831858.7834253977, 1831858.7834253977]",0.23456114511066062,"[0.23456114511066062, 0.23456114511066062]",0.37554063802594245,"[0.37554063802594245, 0.37554063802594245]",0.6245959061678354,"[0.6245959061678354, 0.6245959061678354]",-1.8675259449985049e-06,"[-1.8675259449985049e-06, -1.8675259449985049e-06]",8.434810439412045e-20,"[8.434810439412045e-20, 8.434810439412045e-20]",194.89582828976367,"[194.89582828976367, 194.89582828976367]",0,"[0, 0]",0.986124977003783,"[0.9795956024900079, 1.0065691387280822]",0.04058595513924956,"[0.040544754825532436, 0.040656744968146086]",1.702278794720769,"[1.68412573216483, 1.759258680511266]",2.7224603523500264,"[2.7107954639941454, 2.8064845642074943]"
final-3068,5,eta2,euclidean,3,3,True,1866085.436039495,"[1866085.436039495, 1866085.436039495]",1866070.1685667576,"[1866070.1685667576, 1866070.1685667576]",15.267472737634762,"[15.267472737634762, 15.267472737634762]",57.303130596912816,"[57.303130596912816, 57.303130596912816]",0.26643348414994433,"[0.26643348414994433, 0.26643348414994433]",0.0,"[0.0, 0.0]",1.9458780917829778e-17,"[1.9458780917829778e-17, 1.9458780917829778e-17]",0.003864938198957238,"[0.003864938198957238, 0.003864938198957238]",0,"[0, 0]",0.9672698550857604,"[0.9548948970623314, 0.9850702257826924]",0.04061479493975639,"[0.04053016612306237, 0.04063619486987591]",1.7678881948813796,"[1.7156899510882795, 1.7870432469062507]",2.763419286813587,"[2.7412903429940343, 2.7949278969317675]"
final-3068,5,eta2,homogeneous,3,3,True,1866085.4360394229,"[1866085.4360394229, 1866085.4360394229]",2057655.417888042,"[2057655.417888042, 2057655.417888042]",-191569.981848619,"[-191569.981848619, -191569.981848619]",1939.3026708081777,"[1939.3026708081777, 1939.3026708081777]",-98.78292065094968,"[-98.78292065094968, -98.78292065094968]",10.266776273929313,"[10.266776273929313, 10.266776273929313]",1.9376546747931653e-16,"[1.9376546747931653e-16, 1.9376546747931653e-16]",115148.18400307771,"[115148.18400307771, 115148.18400307771]",0,"[0, 0]",1.0505708171986043,"[1.0401435010135174, 1.0724988500587642]",0.04064432578161359,"[0.04062123503535986, 0.04066089494153857]",1.7847245349548757,"[1.7072757668793201, 1.9089129026979208]",2.8978677107952535,"[2.7984678191132843, 2.9897172986529768]"
final-3068,5,eta2,inverse_depth,3,3,True,1866085.436040582,"[1866085.436040582, 1866085.436040582]",1866178.3567275847,"[1866178.3567275847, 1866178.3567275847]",-92.92068700283141,"[-92.92068700283141, -92.92068700283141]",160.4748492513748,"[160.4748492513748, 160.4748492513748]",-0.5790358267124863,"[-0.5790358267124863, -0.5790358267124863]",0.005797646982919069,"[0.005797646982919069, 0.005797646982919069]",2.0424008804969472e-16,"[2.0424008804969472e-16, 2.0424008804969472e-16]",195328.779130265,"[195328.779130265, 195328.779130265]",0,"[0, 0]",0.998904325067997,"[0.9869487364776433, 1.0032165870070457]",0.040581255219876766,"[0.04050300596281886, 0.0406509549356997]",1.7791600320488214,"[1.758828789461404, 1.7818218139000237]",2.8213770939037204,"[2.786358781158924, 2.822879625018686]"
final-3068,5,exact_clip,euclidean,3,3,True,1866085.436039495,"[1866085.436039495, 1866085.436039495]",1866070.1581241502,"[1866070.1581241502, 1866070.1581241502]",15.277915344852659,"[15.277915344852659, 15.277915344852659]",57.30602298187872,"[57.30602298187872, 57.30602298187872]",0.2666022618544622,"[0.2666022618544622, 0.2666022618544622]",0.0,"[0.0, 0.0]",1.7712414867042583e-20,"[1.7712414867042583e-20, 1.7712414867042583e-20]",0.003863600247646028,"[0.003863600247646028, 0.003863600247646028]",0,"[0, 0]",0.9871833669021726,"[0.972033706959337, 1.0176393063738942]",0.04060401488095522,"[0.04057338507845998, 0.04070945596322417]",1.7672569840215147,"[1.7196837347000837, 1.8483429960906506]",2.7951498068869114,"[2.777927055954933, 2.8609500881284475]"
final-3068,5,exact_clip,homogeneous,3,3,True,1866085.4360394229,"[1866085.4360394229, 1866085.4360394229]",2057653.9064190504,"[2057653.9064190504, 2057653.9064190504]",-191568.47037962743,"[-191568.47037962743, -191568.47037962743]",1939.2956784093976,"[1939.2956784093976, 1939.2956784093976]",-98.78249743574487,"[-98.78249743574487, -98.78249743574487]",10.266695893550315,"[10.266695893550315, 10.266695893550315]",4.3059977168857376e-17,"[4.3059977168857376e-17, 4.3059977168857376e-17]",115148.17976958372,"[115148.17976958372, 115148.17976958372]",0,"[0, 0]",1.050793595612049,"[1.041202840860933, 1.0535781676881015]",0.040539495181292295,"[0.04051964497193694, 0.04057543631643057]",1.700737182982266,"[1.68470547394827, 1.704986535012722]",2.782459668815136,"[2.7760385647416115, 2.799140139017254]"
final-3068,5,exact_clip,inverse_depth,3,3,True,1866085.436040582,"[1866085.436040582, 1866085.436040582]",1866178.3330108472,"[1866178.3330108472, 1866178.3330108472]",-92.89697026535123,"[-92.89697026535123, -92.89697026535123]",160.47610794912885,"[160.47610794912885, 160.47610794912885]",-0.578883495197925,"[-0.578883495197925, -0.578883495197925]",0.005796935673929582,"[0.005796935673929582, 0.005796935673929582]",1.412613526124339e-17,"[1.412613526124339e-17, 1.412613526124339e-17]",195327.78560059526,"[195327.78560059526, 195327.78560059526]",0,"[0, 0]",0.992559960577637,"[0.9753734888508916, 1.005995029117912]",0.040556786116212606,"[0.040411564987152815, 0.040624615270644426]",1.7840866236947477,"[1.7313727522268891, 1.7854783763177693]",2.8014086512848735,"[2.7645573280751705, 2.8304932177998126]"
final-3068,6,eta2,euclidean,3,3,True,1951880.1271295813,"[1951880.1271295813, 1951880.1271295813]",1951880.100806328,"[1951880.100806328, 1951880.100806328]",0.02632325324248086,"[0.02632325324248086, 0.02632325324248086]",0.09843992442361549,"[0.09843992442361549, 0.09843992442361549]",0.26740424067377666,"[0.26740424067377666, 0.26740424067377666]",0.0,"[0.0, 0.0]",7.879190779010988e-17,"[7.879190779010988e-17, 7.879190779010988e-17]",0.0026957561444303562,"[0.0026957561444303562, 0.0026957561444303562]",0,"[0, 0]",0.9665775350295007,"[0.9597532590851188, 0.9766174708493054]",0.040616635233163834,"[0.0405809860676527, 0.0406699450686574]",1.7024729237891734,"[1.701318642590195, 1.7057339656166732]",2.7129814457148314,"[2.702807168941945, 2.718552748672664]"
final-3068,6,eta2,homogeneous,3,3,True,1951880.1271295818,"[1951880.1271295818, 1951880.1271295818]",1952279.3315782559,"[1952279.3315782559, 1952279.3315782559]",-399.20444867399135,"[-399.20444867399135, -399.20444867399135]",5.387573073499877,"[5.387573073499877, 5.387573073499877]",-74.09726851549877,"[-74.09726851549877, -74.09726851549877]",0.020453652443253034,"[0.020453652443253034, 0.020453652443253034]",1.7707293130846194e-16,"[1.7707293130846194e-16, 1.7707293130846194e-16]",3062774.065296595,"[3062774.065296595, 3062774.065296595]",0,"[0, 0]",1.0546485097147524,"[1.0473785153590143, 1.0655129761435091]",0.040704875253140926,"[0.04061792464926839, 0.04070764500647783]",1.7209602850489318,"[1.7005407623946667, 1.7535564359277487]",2.8089567250572145,"[2.8067613835446537, 2.848909820895642]"
final-3068,6,eta2,inverse_depth,3,3,True,1951880.12712958,"[1951880.12712958, 1951880.12712958]",1951860.7824739919,"[1951860.7824739919, 1951860.7824739919]",19.34465558790521,"[19.34465558790521, 19.34465558790521]",20.912795969234107,"[20.912795969234107, 20.912795969234107]",0.9250152689465402,"[0.9250152689465402, 0.9250152689465402]",-0.000989729457678834,"[-0.000989729457678834, -0.000989729457678834]",2.5606246672622202e-17,"[2.5606246672622202e-17, 2.5606246672622202e-17]",2890621.084900737,"[2890621.084900737, 2890621.084900737]",0,"[0, 0]",0.9998090257868171,"[0.9804351022467017, 1.0019481061026454]",0.04064728505909443,"[0.04052141588181257, 0.040836385916918516]",1.825630960520357,"[1.7906036088243127, 1.8392479992471635]",2.868415452539921,"[2.811560126952827, 2.879704310093075]"
